crop_id,scene_id,disaster,damage_label,label_id,pre_crop_path,post_crop_path,crop_width,crop_height,polygon_area
hurricane-michael_00000206__b0042,hurricane-michael_00000206,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000206__b0042.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000206__b0042.jpg,54,54,911.4999999337829
hurricane-harvey_00000491__b0079,hurricane-harvey_00000491,hurricane-harvey,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000491__b0079.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000491__b0079.jpg,74,74,1123.7146712413853
socal-fire_00001159__b0006,socal-fire_00001159,socal-fire,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/socal-fire_00001159__b0006.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/socal-fire_00001159__b0006.jpg,47,36,489.73969125075206
hurricane-michael_00000196__b0002,hurricane-michael_00000196,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000196__b0002.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000196__b0002.jpg,122,122,2999.861439562949
hurricane-harvey_00000402__b0065,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0065.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0065.jpg,147,147,5601.4283906027595
guatemala-volcano_00000019__b0008,guatemala-volcano_00000019,guatemala-volcano,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/guatemala-volcano_00000019__b0008.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/guatemala-volcano_00000019__b0008.jpg,81,70,1949.4772482367414
guatemala-volcano_00000026__b0021,guatemala-volcano_00000026,guatemala-volcano,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/guatemala-volcano_00000026__b0021.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/guatemala-volcano_00000026__b0021.jpg,15,15,33.10218821328155
hurricane-harvey_00000402__b0154,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0154.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0154.jpg,60,60,1145.5996879979925
santa-rosa-wildfire_00000203__b0172,santa-rosa-wildfire_00000203,santa-rosa-wildfire,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/santa-rosa-wildfire_00000203__b0172.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/santa-rosa-wildfire_00000203__b0172.jpg,74,74,1359.716183229492
hurricane-harvey_00000491__b0174,hurricane-harvey_00000491,hurricane-harvey,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000491__b0174.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000491__b0174.jpg,89,89,1354.3743659048998
midwest-flooding_00000061__b0025,midwest-flooding_00000061,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000061__b0025.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000061__b0025.jpg,92,92,1112.3697282935477
hurricane-florence_00000031__b0004,hurricane-florence_00000031,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000031__b0004.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000031__b0004.jpg,84,85,1813.9677716098006
hurricane-michael_00000412__b0011,hurricane-michael_00000412,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000412__b0011.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000412__b0011.jpg,76,75,1468.9691346249074
hurricane-michael_00000012__b0026,hurricane-michael_00000012,hurricane-michael,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000012__b0026.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000012__b0026.jpg,97,96,2182.8557826679776
hurricane-florence_00000232__b0002,hurricane-florence_00000232,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000232__b0002.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000232__b0002.jpg,25,25,97.5147873165767
santa-rosa-wildfire_00000049__b0074,santa-rosa-wildfire_00000049,santa-rosa-wildfire,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/santa-rosa-wildfire_00000049__b0074.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/santa-rosa-wildfire_00000049__b0074.jpg,80,80,1859.913386492677
palu-tsunami_00000189__b0063,palu-tsunami_00000189,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000189__b0063.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000189__b0063.jpg,31,32,243.78638835157125
hurricane-michael_00000206__b0087,hurricane-michael_00000206,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000206__b0087.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000206__b0087.jpg,54,54,733.4865345795874
hurricane-harvey_00000402__b0135,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0135.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0135.jpg,114,113,2311.381211805271
hurricane-michael_00000196__b0104,hurricane-michael_00000196,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000196__b0104.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000196__b0104.jpg,84,85,1910.896027063661
hurricane-michael_00000440__b0146,hurricane-michael_00000440,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000440__b0146.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000440__b0146.jpg,64,64,1124.8810675530376
midwest-flooding_00000144__b0003,midwest-flooding_00000144,midwest-flooding,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000144__b0003.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000144__b0003.jpg,100,100,2559.0947898960194
palu-tsunami_00000189__b0055,palu-tsunami_00000189,palu-tsunami,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000189__b0055.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000189__b0055.jpg,23,23,119.24291699002737
palu-tsunami_00000168__b0087,palu-tsunami_00000168,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0087.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0087.jpg,33,33,376.35598682447755
hurricane-michael_00000281__b0116,hurricane-michael_00000281,hurricane-michael,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000281__b0116.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000281__b0116.jpg,46,46,764.8344615479285
hurricane-michael_00000514__b0010,hurricane-michael_00000514,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000514__b0010.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000514__b0010.jpg,131,131,3698.9453184974172
hurricane-florence_00000003__b0047,hurricane-florence_00000003,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000003__b0047.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000003__b0047.jpg,75,75,1736.81474560375
midwest-flooding_00000237__b0042,midwest-flooding_00000237,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000237__b0042.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000237__b0042.jpg,36,36,449.7459917191229
hurricane-michael_00000196__b0050,hurricane-michael_00000196,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000196__b0050.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000196__b0050.jpg,32,32,218.57025688254808
palu-tsunami_00000164__b0108,palu-tsunami_00000164,palu-tsunami,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000164__b0108.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000164__b0108.jpg,30,30,282.35140178378816
mexico-earthquake_00000105__b0014,mexico-earthquake_00000105,mexico-earthquake,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/mexico-earthquake_00000105__b0014.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/mexico-earthquake_00000105__b0014.jpg,68,68,1367.734891276983
midwest-flooding_00000237__b0044,midwest-flooding_00000237,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000237__b0044.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000237__b0044.jpg,74,74,1365.3574119470784
hurricane-harvey_00000467__b0138,hurricane-harvey_00000467,hurricane-harvey,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000467__b0138.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000467__b0138.jpg,76,76,1220.684798446374
hurricane-michael_00000180__b0045,hurricane-michael_00000180,hurricane-michael,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000180__b0045.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000180__b0045.jpg,29,28,301.22402641221265
hurricane-florence_00000485__b0021,hurricane-florence_00000485,hurricane-florence,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000485__b0021.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000485__b0021.jpg,56,56,730.2903263780868
hurricane-michael_00000141__b0048,hurricane-michael_00000141,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000141__b0048.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000141__b0048.jpg,64,64,1497.1392611119927
midwest-flooding_00000252__b0036,midwest-flooding_00000252,midwest-flooding,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000252__b0036.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000252__b0036.jpg,27,27,152.03901170868875
mexico-earthquake_00000119__b0043,mexico-earthquake_00000119,mexico-earthquake,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/mexico-earthquake_00000119__b0043.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/mexico-earthquake_00000119__b0043.jpg,43,44,295.95705191579697
guatemala-volcano_00000015__b0001,guatemala-volcano_00000015,guatemala-volcano,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/guatemala-volcano_00000015__b0001.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/guatemala-volcano_00000015__b0001.jpg,55,56,768.5105043683997
hurricane-harvey_00000402__b0097,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0097.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0097.jpg,170,173,4407.90913523132
hurricane-michael_00000322__b0062,hurricane-michael_00000322,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000322__b0062.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000322__b0062.jpg,77,76,1260.4706552413634
hurricane-florence_00000232__b0005,hurricane-florence_00000232,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000232__b0005.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000232__b0005.jpg,38,38,343.8615403789389
palu-tsunami_00000168__b0183,palu-tsunami_00000168,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0183.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0183.jpg,38,38,370.9341689458583
palu-tsunami_00000168__b0179,palu-tsunami_00000168,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0179.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0179.jpg,33,29,464.1535685383577
hurricane-harvey_00000467__b0146,hurricane-harvey_00000467,hurricane-harvey,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000467__b0146.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000467__b0146.jpg,74,73,1483.384611690501
midwest-flooding_00000027__b0040,midwest-flooding_00000027,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000027__b0040.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000027__b0040.jpg,33,34,412.16697866297375
midwest-flooding_00000061__b0064,midwest-flooding_00000061,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000061__b0064.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000061__b0064.jpg,149,149,7112.373385882514
guatemala-volcano_00000026__b0011,guatemala-volcano_00000026,guatemala-volcano,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/guatemala-volcano_00000026__b0011.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/guatemala-volcano_00000026__b0011.jpg,20,21,72.98722556985504
palu-tsunami_00000168__b0150,palu-tsunami_00000168,palu-tsunami,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0150.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0150.jpg,31,30,286.3954860511848
midwest-flooding_00000027__b0027,midwest-flooding_00000027,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000027__b0027.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000027__b0027.jpg,61,62,1310.1962231032105
santa-rosa-wildfire_00000114__b0010,santa-rosa-wildfire_00000114,santa-rosa-wildfire,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/santa-rosa-wildfire_00000114__b0010.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/santa-rosa-wildfire_00000114__b0010.jpg,92,92,1404.5990998876891
mexico-earthquake_00000105__b0137,mexico-earthquake_00000105,mexico-earthquake,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/mexico-earthquake_00000105__b0137.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/mexico-earthquake_00000105__b0137.jpg,39,39,571.0188611231582
hurricane-michael_00000440__b0147,hurricane-michael_00000440,hurricane-michael,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000440__b0147.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000440__b0147.jpg,78,59,1329.4094255200628
socal-fire_00001397__b0032,socal-fire_00001397,socal-fire,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/socal-fire_00001397__b0032.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/socal-fire_00001397__b0032.jpg,28,28,146.62156393933526
hurricane-michael_00000196__b0033,hurricane-michael_00000196,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000196__b0033.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000196__b0033.jpg,24,24,137.99169423170153
hurricane-michael_00000196__b0040,hurricane-michael_00000196,hurricane-michael,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000196__b0040.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000196__b0040.jpg,68,68,1207.7450298037993
mexico-earthquake_00000105__b0061,mexico-earthquake_00000105,mexico-earthquake,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/mexico-earthquake_00000105__b0061.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/mexico-earthquake_00000105__b0061.jpg,92,92,1592.2958537068564
midwest-flooding_00000027__b0039,midwest-flooding_00000027,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000027__b0039.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000027__b0039.jpg,32,33,372.3734166744081
palu-tsunami_00000168__b0021,palu-tsunami_00000168,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0021.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0021.jpg,40,40,501.9330366858029
hurricane-harvey_00000130__b0004,hurricane-harvey_00000130,hurricane-harvey,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000130__b0004.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000130__b0004.jpg,32,31,304.02173594524675
hurricane-michael_00000049__b0025,hurricane-michael_00000049,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000049__b0025.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000049__b0025.jpg,92,93,1963.158509919768
hurricane-michael_00000012__b0028,hurricane-michael_00000012,hurricane-michael,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000012__b0028.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000012__b0028.jpg,33,33,251.60102415633466
hurricane-harvey_00000402__b0022,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0022.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0022.jpg,71,71,1232.2300513415792
midwest-flooding_00000027__b0002,midwest-flooding_00000027,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000027__b0002.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000027__b0002.jpg,119,118,3626.5924903732525
hurricane-florence_00000485__b0023,hurricane-florence_00000485,hurricane-florence,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000485__b0023.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000485__b0023.jpg,119,119,2292.0648060013978
midwest-flooding_00000237__b0014,midwest-flooding_00000237,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000237__b0014.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000237__b0014.jpg,32,31,201.6816638552337
hurricane-harvey_00000491__b0102,hurricane-harvey_00000491,hurricane-harvey,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000491__b0102.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000491__b0102.jpg,68,68,1012.6896908766386
hurricane-michael_00000307__b0031,hurricane-michael_00000307,hurricane-michael,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000307__b0031.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000307__b0031.jpg,42,41,594.4999999574637
hurricane-harvey_00000402__b0001,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0001.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0001.jpg,72,72,1398.2948094729807
